Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,Why Uganda is the 'world's fittest country' https://t.co/N0zIcNyh3Y,Sat Sep 15 00:20:37 +0000 2018,0.0,0.0,1.0,0.0,60
@BBCWorld,This is what it looked like when Hurricane #Florence hit North Carolina https://t.co/BBfAlziJLu https://t.co/wEqRqlorLJ,Fri Sep 14 23:59:54 +0000 2018,0.3612,0.161,0.839,0.0,61
@BBCWorld,Singapore's Mandai eco-resort: Paving paradise to put up an eco-resort https://t.co/knNm9nST99,Fri Sep 14 23:34:34 +0000 2018,0.6369,0.296,0.704,0.0,62
@BBCWorld,EU migrant row: Call to screen rescued asylum seekers at sea https://t.co/v2RyWc7OUv,Fri Sep 14 22:49:58 +0000 2018,0.4215,0.203,0.797,0.0,63
@BBCWorld,Winners and losers from the Manafort plea deal https://t.co/ualUjLUTO1,Fri Sep 14 21:18:59 +0000 2018,-0.0772,0.23,0.519,0.252,64
@BBCWorld,"RT @BBCBreaking: Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 homes with…",Fri Sep 14 21:02:32 +0000 2018,-0.6705,0.0,0.809,0.191,65
@BBCWorld,Emmeline Pankhurst's mother Sophia Goulden honoured with blue plaque https://t.co/jJSoBeWBRU,Fri Sep 14 20:32:07 +0000 2018,0.4939,0.262,0.738,0.0,66
@BBCWorld,Why were these goats blindfolded and dangled from a helicopter? https://t.co/NBQrCF7GLM 🐐 https://t.co/Xorr6KMmsh,Fri Sep 14 20:21:38 +0000 2018,0.0,0.0,1.0,0.0,67
@BBCWorld,Mummified ice age wolf pup and caribou found in northern Canada https://t.co/EC4ig40nqf,Fri Sep 14 20:21:16 +0000 2018,0.0,0.0,1.0,0.0,68
@BBCWorld,Mother and infant killed in Hurricane #Florence when high winds blew a tree onto their house… https://t.co/2OJIP6qZW1,Fri Sep 14 19:21:02 +0000 2018,-0.6705,0.0,0.769,0.231,69
@BBCWorld,Brett Kavanaugh denies sexual misconduct in high school https://t.co/1bT9sHgBl9,Fri Sep 14 18:38:56 +0000 2018,-0.4215,0.0,0.741,0.259,70
@BBCWorld,"RT @BBCBreaking: Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWN…",Fri Sep 14 18:28:49 +0000 2018,-0.6887,0.06,0.647,0.293,71
@BBCWorld,Chemnitz unrest: Nazi salute man jailed in east Germany https://t.co/Fx9wnfhPjm,Fri Sep 14 18:23:21 +0000 2018,-0.4939,0.0,0.738,0.262,72
@BBCWorld,Russia: The 'cloud' over the Trump White House https://t.co/zkrSGYq8Gd,Fri Sep 14 18:11:07 +0000 2018,0.0,0.0,1.0,0.0,73
@BBCWorld,Hurricanes and typhoons: How to survive a major storm https://t.co/lrLzwDgjCW,Fri Sep 14 17:12:31 +0000 2018,0.0,0.0,1.0,0.0,74
